Vdr_Id	bare_rock	broadleaved_forest	coniferous_forest	glaciers	inland_water	inland_wetlands	mixed_forest	vegetation	altitude	Illies ecoreg	catch_area(m2)	LN	HCL	ref-P	mean temperature year	mean temperature coldest month	mean temperature warmest month	temperature sample month	precipitation sample month	precipitation year	slope	B_Fin_detritus	B_Fin_död_ved	B_Fin_sten_dom_typ	B_Fina_block_dom_typ	B_Finsediment_dom_typ	B_Flytbladsväxter_före_klass	B_Grov_detritus	B_Grov_död_ved	B_Grov_sten_dom_typ	B_Grova_block_dom_typ	B_Grus_dom_typ	B_Häll_dom_typ	B_Mossa_före_klass	B_Påväxtalger_före_klass	B_Rosettväxter_före_klass	B_Sand_dom_typ	B_Slingeväxter_före_klass	B_Övervattenväxter_före_klass	N_Barrskog	N_Blandskog	N_Hed	N_Häll_blockmark	N_Kalfjäll	N_Lövskog	N_Myr_våtmark	N_Äng	Alk_Acid	Abs_F
33	0	0,08150617	0,3580359	0	0,0027595	0,24528905	0,20135844	0,00113923	324	20	61993685,4	N	above HCL	7,07	2,10166667	-7,87	13,4	7,06	39,87	959,36	3,30617543	1	1	3	2	0	0	2	0	2	1	2	0	1	2	0	1	0	0	0	2	0	0	0	0	0	1	0,479	0,046
34	0	0,00357905	0,77626194	0	0,0222511	0,07953107	0,09034751	0	425	20	45222492,7	N	above HCL	3,91	1,72833333	-8,08	13	3,98	115,93	954,68	4,77118616	1	1	2	2	1	0	2	1	3	1	2	1	0	3	0	1	0	0	0	0	0	1	0	0	1	0	0,117	0,026
35	0,01447837	0,26290333	0,0226762	0	0,0288486	0,36006957	0	0,31083706	466	20	78642169,5	N	above HCL	4,84	1,6725	-7,27	12,45	6,6	43,54	1071,91	1,85462791	1	1	3	1	0	0	1	0	2	1	2	0	2	2	0	1	0	0	0	1	0	0	0	2	0	1	0,11	0,054
36	0	0,03338329	0,44995205	0	0,05366816	0,20992831	0,14151394	0	429	20	120063993	N	above HCL	6,77	1,85333333	-8,19	13,28	4,13	105,93	910,18	4,0900667	1	1	2	2	1	0	1	0	2	2	1	1	2	3	0	1	0	0	3	2	0	0	0	0	0	0	0,177	0,099
37	0	0,05551369	0,3624195	0	0,00492877	0,16960103	0,24604124	0	272	22	84706677,9	N	above HCL	9,57	2,91833333	-7,44	14,22	7,75	38,16	934,35	4,66278985	2	1	2	2	1	0	2	1	3	2	2	1	2	2	0	1	0	0	0	3	0	0	0	0	0	0	0,801	0,074
38	0	0,04229303	0,44947214	0	0,02826688	0,14172793	0,22149454	0	306	22	47361084	N	above HCL	9,29	2,82416667	-8,3	14,26	5,13	86,92	937,48	7,37865852	1	0	2	0	2	0	1	0	1	0	2	0	1	1	0	2	1	0	2	2	0	0	0	1	0	0	0,136	0,218
39	0	0,05778872	0,39170033	0	0,02272041	0,16253256	0,18558729	0	270	22	136126091	N	above HCL	7,51	2,6525	-8,32	14,7	4,83	90,21	974,81	6,6221213	1	1	3	1	2	0	1	1	2	1	2	1	2	2	0	2	0	0	2	1	0	0	0	0	1	1	0,162	0,094
40	0	0,10221115	0,3434733	0	0,00903987	0,21869408	0,23635545	0	301	22	52061051,6	N	above HCL	6,76	2,6875	-7,95	14,47	4,82	92,51	992,09	6,35710887	1	1	2	2	0	0	2	1	2	2	1	1	0	1	0	2	0	0	3	2	0	2	0	3	0	0	0,116	0,091
41	0	0,02716117	0,45900698	0	0,02489434	0,18760024	0,21301332	0	342	22	50834224,2	N	above HCL	6,47	2,11583333	-8,95	14,19	4,46	95,22	1016,07	5,02690851	0	1	2	1	0	0	2	0	2	1	1	0	1	2	0	2	0	0	3	2	0	0	0	0	1	0	0,167	0,077
42	0	0,36743042	0,06367823	0	0,03446748	0,12465722	0,0098506	0,39840889	479	20	71154035	N	above HCL	5,71	1,21333333	-8,8	12,41	6,38	44,02	952,54	5,73430877	1	1	2	1	0	0	2	1	2	1	1	1	2	2	0	1	0	0	0	3	0	0	0	0	0	0	0,344	0,043
43	0	0,03199049	0,4313463	0	0,11453413	0,17464613	0,16939804	0	516	20	49345738,9	N	above HCL	5,33	1,40583333	-8,51	12,6	6,37	36,36	1026,13	3,45386507	2	1	3	2	1	0	1	0	2	1	2	1	2	3	0	2	0	0	1	1	0	0	0	0	2	1	0,195	0,053
45	0,03014154	0,00784304	0	0	0,04150225	0,04378119	0	0,87673198	614	20	18647104,5	N	above HCL	4,69	-1,505	-12,66	11,03	4,63	28,97	752,64	1,67744073	0	0	1	2	0	0	0	0	2	3	0	0	3	3	0	0	0	0	0	0	2	0	0	0	3	0	0,201	0,045
46	0,00044735	0,06740526	0,01111514	0	0,00953353	0,16065718	0,00778675	0,7430548	447	20	135305823	N	above HCL	5,19	-0,7241667	-12,99	12,78	5,54	21,49	679,13	5,71216717	0	0	2	0	0	0	0	0	2	0	2	0	2	1	0	3	0	0	0	0	0	0	0	3	2	0	0,189	0,05
47	4,54743e-6	0,03144927	0,00698882	0	0,14035689	0,25820589	0,00092905	0,56206553	542	20	24218233,8	N	above HCL	8,78	-1,3533333	-13,19	11,78	4,95	23,27	681,78	1,28109064	0	0	2	3	0	0	0	0	2	2	1	0	0	3	0	0	0	0	0	0	2	0	0	2	1	0	0,188	0,275
48	0,01818601	0,02691031	0,00657104	0	0,00404121	0,10595256	0,00129933	0,83703955	471	20	44271413,7	N	above HCL	4,74	-1,0216667	-13,52	12,59	5,33	22,86	685,65	5,67758995	0	0	3	2	0	0	0	0	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0,181	0,043
49	0,00013131	0,0144906	0,00022399	0	0,04443721	0,28041234	0,00057929	0,65972528	559	20	80918194,9	N	above HCL	7,45	-1,0541667	-12,65	11,93	5,19	20,24	704,47	2,43025832	0	1	2	3	0	0	0	0	2	2	2	0	3	2	0	1	0	0	0	0	0	0	0	0	3	0	0,221	0,159
51	0,00854159	0,02887679	0,00628706	0	0,00346885	0,02454738	0,00261392	0,9256644	502	20	103240360	N	above HCL	3,64	-1,0825	-13,48	12,44	5,3	23,89	695,51	2,19740219	0	0	2	2	0	0	0	0	2	1	2	0	3	2	0	1	0	0	0	0	2	0	0	3	0	0	0,148	0,023
52	0	0,06916288	0,43582663	0	0,03732519	0,14001316	0,21535575	0	184	22	346253138	N	below HCL	11,76	3,71416667	-6,41	14,84	5,85	78,61	898,51	9,49399244	1	1	1	2	0	0	1	0	2	2	1	1	2	2	0	2	0	0	3	0	0	0	0	1	0	0	0,015	0,442
53	0,00001007	0,05237425	0,41603066	0	0,03063195	0,15300525	0,2072586	0,00023678	0	22	3026779936	N	below HCL	15,13	5,20083333	-3,25	14,99	7,84	104,79	1014,35	0,75753409	1	0	2	1	2	0	1	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0,102	0,259
54	0	0,01701176	0,33956286	0	0,07807293	0,26084822	0,15270638	0	222	22	182804356	N	below HCL	9,41	3,14583333	-7,37	14,69	5,26	67,57	836,32	3,54427123	1	1	2	1	1	0	1	0	2	0	1	0	1	2	0	2	0	0	2	0	0	0	0	2	1	0	0,075	0,243
55	0	0,00883428	0,51145615	0	0,10912098	0,07135756	0,15386507	0	277	22	119179653	N	above HCL	7,47	2,82916667	-7,86	14,28	5,08	70,36	839,28	1,70407636	2	1	1	1	0	0	2	0	2	0	1	0	0	2	1	1	1	1	0	0	0	0	0	2	3	0	0,103	0,126
56	0	0,01780775	0,27244062	0	0,05881571	0,34336361	0,25571908	0	379	22	66340688,9	N	above HCL	6,71	1,60416667	-9,68	13,76	3,99	89,35	982,79	4,50272836	3	1	2	2	3	0	1	0	2	2	1	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0,093	0,118
57	0	0,04073643	0,47074613	0	0,0072669	0,14031678	0,17318076	0	62	22	184053613	N	below HCL	12,83	3,87666667	-5,95	15,23	6,36	91,36	934,16	4,51494941	1	1	1	2	0	0	2	0	2	2	1	2	0	2	0	1	0	0	0	3	0	1	0	0	0	0	0,032	0,374
60	0	0,00761266	0,54287497	0	0,0299758	0,00989258	0,14172993	0	58	22	74957410,5	N	below HCL	15,1	4,0375	-5,66	14,93	6,33	82,91	889,96	6,28288928	1	1	2	1	0	0	2	1	2	0	2	0	3	1	0	1	0	0	2	1	0	0	0	1	0	2	0,027	0,489
61	0	0,03463694	0,59854839	0	0,04738561	0,15860929	0,10818607	0	232	22	43086489,9	N	above HCL	9,4	2,7575	-7,32	14,11	4,96	89,13	883,63	3,55825874	1	1	2	3	0	0	2	0	2	2	1	0	1	3	0	1	0	0	3	0	0	0	0	1	2	0	0,096	0,248
62	0	0,00593341	0,553381	0	0,09641401	0,06317169	0,13411794	0	260	22	90898269,5	N	above HCL	8,67	2,83833333	-7,64	14,28	5,09	75,89	853,18	4,30437377	1	0	1	2	1	0	1	1	3	1	1	1	3	2	0	1	0	0	0	1	0	1	0	3	0	0	0,095	0,199
63	0	0,01704672	0,58269819	0	0,01057543	0,0767283	0,19136754	0	145	22	42787865,3	N	below HCL	13,27	3,63583333	-6,13	14,61	5,91	83,76	903,71	3,88573185	1	1	1	2	1	0	2	1	2	1	1	1	2	2	0	2	0	0	0	1	0	0	0	0	0	3	0,143	0,363
64	0,49558679	0,0075193	0	0,02060749	5,14875e-6	0	0	0,47628127	638	20	12225025	N	above HCL	2,49	-0,2925	-10,97	11,81	5,52	47	1057,21	7,12438211	0	0	1	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0,165	0,005
65	0,43288819	0,0001398	0	0,02694977	0,00898934	0	0	0,5310329	659	20	25357511,4	N	above HCL	2,37	-0,4658333	-10,96	11,7	5,53	74,56	1556,86	5,41917085	0	0	2	2	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0,198	0,004
66	0,34236787	0	0	0,17734943	0,00352266	0,00948024	0	0,4672798	683	20	53759134,2	N	above HCL	2,66	-0,8366667	-10,62	10,93	5,13	80,38	1476,07	0	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0,146	0,008
67	0,00307076	0,19066202	0,34341953	0	0,02778241	0,08415757	0,10839766	0,22536869	305	20	67266514,3	N	above HCL	5,24	1,245	-10,68	13,87	7,15	15,61	686,13	7,22627982	0	0	2	0	0	0	0	0	3	0	1	0	1	2	0	1	0	0	0	3	0	0	0	0	2	0	0,164	0,036
68	0,27886747	0,03542367	0	0,00931332	0,09209133	0	0	0,58430421	458	20	49190300,2	N	above HCL	2,9	1,0075	-8,97	12,72	6,83	31,14	709,02	3,93453714	0	0	2	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0,056	0,016
69	0,04846873	0,24929477	0	0	0,07574396	0,04992993	0	0,5765626	591	20	68858624,1	N	above HCL	4,04	0,145	-9,76	12,01	6,03	36,43	861,71	0,9985204	0	0	1	2	0	0	0	0	2	3	0	0	2	2	0	0	0	0	0	0	0	0	0	2	3	0	0,138	0,031
71	0,01102682	0,11220513	0,056022	0	0,04101106	0,05608273	0,02446302	0,69866381	372	20	36148782,6	N	above HCL	3,57	0,79	-10,14	13,03	6,59	23,61	884,02	2,27225326	0	0	2	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0,075	0,024
72	0	0,13091882	0,39983628	0	0,01639162	0,28216088	0,16082838	0,00662904	391	22	83236109,4	N	above HCL	5,7	0,29	-11,84	13,29	6,39	24,98	834,05	3,57092295	0	0	1	2	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	3	0	0,102	0,085
74	0,00034355	0,27856569	0,00321038	0	0,03167876	0,05567857	0,0006634	0,62985966	561	20	52758611	N	above HCL	5,16	-0,9091667	-12,24	11,88	5,11	24,51	871,36	3,57676071	0	0	2	0	0	0	0	0	1	0	3	0	2	1	0	2	0	0	0	0	0	0	0	0	3	0	0,251	0,046
75	0,00521438	0,23734904	0,21991333	0	0,04486804	0,15525653	0,07868356	0,25871513	459	20	163563246	N	above HCL	5,25	0,21166667	-10,83	12,66	6,12	21,09	763,95	3,68794432	0	0	3	2	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0,132	0,06
76	0,0112626	0,57407506	0,00051245	0	0,03874515	0,12106132	0	0,25434342	523	20	45126346,4	N	above HCL	5,15	0,17916667	-10,59	12,45	6,08	21,37	700,52	1,58980987	1	0	1	1	0	0	1	0	3	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2	3	0	0,19	0,051
77	0,13691074	0,12200967	0,00070075	0	0,00632861	0,00517667	0,00526935	0,72360421	360	20	47206986,2	N	above HCL	4,13	0,39666667	-9,25	12,12	6,35	22,58	500,7	3,40348387	0	1	3	0	1	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0,155	0,017
78	0,00557496	0,05427624	0,07534186	0	0,00684103	0,0601278	0,00888504	0,78895307	379	20	48039150	N	above HCL	4,41	1,1225	-9,69	13,31	6,96	19,2	668,11	1,43278696	0	0	3	2	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0,124	0,033
79	0,04119648	0,11829279	0,00021165	0	0,00456114	0,0388869	0	0,79685103	598	20	126976422	N	above HCL	5,27	-0,9291667	-11,73	11,45	5,08	25,91	856,07	1,57898892	0	0	2	2	0	0	1	0	3	1	2	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0,148	0,053
80	0,00884311	0,23350276	0,18321643	0	0,0100723	0,11885552	0,02686646	0,41864342	464	20	58896522,8	N	above HCL	4,91	0,57666667	-10,39	12,89	6,48	19,79	694,5	8,29873323	0	0	1	3	0	0	0	0	2	2	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0,115	0,057
81	0,10015654	0,02198816	0	0	0,01013923	0	0	0,86771607	343	20	98445486	N	above HCL	4,76	1,37	-8,12	12,75	7,07	29,55	553,21	10,2414873	0	0	3	2	0	0	0	0	2	1	2	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0,322	0,017
82	0,00020865	0,4784999	0,01622922	0	0,1037818	0,05854624	0,0004173	0,3423169	444	20	59908648	N	above HCL	6,1	0,205	-10,35	12,58	6,29	17,94	689,15	2,79526196	0	0	2	1	0	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	0	0	3	3	0	0,166	0,073
83	0	0,00782081	0,64756725	0	0,00537735	0,15875747	0,07744097	0,00139921	316	20	214751581	N	above HCL	6,62	4,32416667	-5,34	13,61	8,28	37	1083,05	5,7426574	0	0	0	1	0	0	1	1	2	0	0	0	3	2	0	3	1	0	3	0	1	0	0	1	0	0	0,245	0,065
84	0,0020608	0,07658921	0,24317653	0	0,00138716	0,22916261	0,05096548	0,34181497	537	20	45957171,9	N	above HCL	5,72	2,6275	-6,78	11,91	7,15	32,33	964,16	7,70074952	1	1	2	1	0	0	2	1	1	1	1	0	3	1	0	2	0	0	2	0	1	1	0	1	0	0	0,159	0,078
85	0	0,00194066	0,76070921	0	0,01437052	0,02179702	0,06249435	0	427	20	38968677,9	N	above HCL	5,05	3,81916667	-5,85	13,11	7,84	35,19	1057,1	8,27935754	0	0	2	1	0	0	1	0	3	1	1	0	1	1	0	0	0	0	3	0	1	1	0	1	0	0	0,137	0,05
86	0	0,12262748	0,41040345	0	0,00173306	0,17847705	0,1356765	0,12748239	458	20	62638115,7	N	above HCL	6,34	2,95833333	-6,5	12,19	7,08	36,19	1132,74	4,50488508	0	0	3	1	0	0	1	0	3	1	1	0	1	1	0	1	0	0	3	0	1	2	0	1	1	0	0,313	0,069
87	0,17782463	0,03318315	0,00059359	0,00063089	0,0319569	0,01076209	0	0,74504876	422	20	235853891	N	above HCL	3,19	1,4175	-8,39	13,03	7,32	34,51	703,89	7,46019482	0	0	2	2	0	0	0	0	2	3	1	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0,084	0,015
88	0,06138567	0,00634671	0	0	0,03996926	0,00364868	0	0,88864967	451	20	45564361,6	N	above HCL	3,16	0,94166667	-7,85	12,03	6,67	70,86	700,25	9,85553907	0	0	1	2	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0,193	0,009
89	0,00324316	0,21052517	0,0063955	0	0,08597889	0,1478761	0,00109636	0,54488482	486	20	73580209,7	N	above HCL	5,87	0,0025	-10,79	12,5	6,09	22,21	750,18	8,10028335	0	0	2	2	0	0	0	0	2	2	2	0	3	2	0	0	0	0	0	0	0	0	0	3	2	0	0,167	0,076
91	0,56661985	0	0	0,07362576	0,00697624	0	0	0,35277815	805	20	22656558,4	N	above HCL	1,96	-0,6141667	-9,77	10,78	5,1	83,91	1293,33	4,08510623	0	0	3	2	2	0	0	0	2	2	2	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0,03	0,006
92	0,11836555	0,10222809	0,00025088	0,00353117	0,04593781	0,05142123	0	0,63278379	459	20	146982843	N	above HCL	3,75	1,26583333	-7,37	12,33	6,91	107,32	910,84	1,82033165	0	0	2	3	2	0	0	0	2	2	0	0	3	3	0	0	0	0	0	0	0	0	0	3	3	0	0,106	0,026
93	0,14997095	0,09512804	0,00121932	0,00289415	0,04905303	0,022948	0	0,67878651	456	20	120863479	N	above HCL	3,27	0,47916667	-8,16	11,52	6,21	133,32	1234,8	1,12616733	0	0	1	3	0	0	0	0	2	2	1	0	1	2	0	0	0	0	0	0	0	0	0	3	0	0	0,26	0,008
94	0,22054488	0	0	0	0,15025519	0	0	0,62866287	805	20	62156669,4	N	above HCL	2,56	-0,7716667	-9,6	10,31	4,89	108,32	1142,08	4,66137265	0	0	2	2	0	0	0	0	3	2	1	0	1	1	0	1	0	0	0	0	3	0	0	0	0	0	0,068	0,016
95	0,28575028	0,26273043	0,00511834	0	0,03007432	0,03452963	0	0,381797	462	20	63273737,9	N	above HCL	3,25	0,7325	-10,47	12,82	6,43	21,44	768,39	1,30678156	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	0,109	0,014
96	0,49824629	0,02319849	0	0	0,0637519	0,00048127	0	0,41432205	545	20	85749372,7	N	above HCL	2,18	1,11	-8,48	12,33	6,53	47,33	855	8,91608067	0	0	2	1	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0,046	0,01
97	0,50672851	0,00620739	0	0	0,07955208	0	0	0,40751202	577	20	34954529	N	above HCL	1,86	-1,0183333	-10,96	10,45	4,5	55,91	1082,25	1,88638441	0	0	2	2	0	0	0	0	2	2	1	0	1	1	0	0	0	0	0	0	0	0	0	3	2	0	0,021	0,009
98	0,17048819	0,0008088	0	0	8,26478e-5	0	0	0,82862036	716	20	23182382	N	above HCL	3,97	-2,2941667	-13,59	9,91	3,46	25,7	982,23	2,69578308	0	0	2	2	0	0	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	0	3	0	0	0	0,296	0,022
